transaction_id,device_id,merchant_id,timestamp,transaction_amount,retry_count,device_uptime_hrs,firmware_version,last_ping_gap_sec,geo_city,geo_lat,geo_lon,ip_consistency_flag,label,fraud_type
737cbcc9-90b6-40ca-8643-75d6d83cecb3,POS-43D83AB1,MER-C30AE6,2026-08-01T00:18:51.193524,3235.57,0,185.0,v2.2.0,2.24,Kolkata,22.5726,88.3639,1,normal,
2a8215ab-5321-4e9b-a664-36b622b341b0,POS-CD16D1EF,MER-7BDF7F,2026-08-01T00:28:59.184944,4372.43,1,55.6,v2.1.0,2.55,Mumbai,19.076,72.8777,1,normal,
85fbcf82-6fb0-4dd0-95b1-09bf2dc868c0,POS-B7140521,MER-A41052,2026-08-01T00:31:17.132779,2410.19,0,297.2,v2.1.0,1.8,Nagpur,21.1458,79.0882,1,normal,
faaf196c-a9dd-4af3-911d-d219b81b971d,POS-9CD505AA,MER-1F157D,2026-08-01T00:35:06.697777,929.28,0,307.9,v2.1.1,1.84,Pune,18.5204,73.8567,1,normal,
7235b85c-5f18-4f7f-9616-830a34671196,POS-3BF5E359,MER-A82822,2026-08-01T01:03:16.325787,1807.94,0,274.3,v2.2.0,1.43,Mumbai,19.076,72.8777,1,normal,
d6096ec7-fb32-4258-b8da-4ed755b6b355,POS-7249E858,MER-AE0327,2026-08-01T01:11:13.491125,3881.97,0,365.7,v2.3.0-beta,1.65,Kolkata,22.5726,88.3639,1,normal,
f1157caf-d25f-4d02-841f-d45bd18b4f56,POS-70E04A75,MER-F51428,2026-08-01T01:20:30.778539,1343.36,0,189.6,v2.1.1,2.09,Pune,18.5204,73.8567,1,normal,
8e5d37c4-44cf-4ef2-a318-8954553d2edc,POS-15DBCFD0,MER-2D83F7,2026-08-01T01:23:07.258822,2910.99,0,422.4,v2.2.0,1.42,Hyderabad,17.385,78.4867,1,normal,
c035f725-85e4-437e-b375-9059274f3071,POS-0E673AA4,MER-A73341,2026-08-01T01:28:50.297631,4359.18,1,362.9,v2.2.0,2.72,Hyderabad,17.385,78.4867,1,normal,
5f245013-aa49-4f2b-86cc-b14d027a2cd5,POS-87CA5368,MER-503568,2026-08-01T01:32:05.643695,382.94,0,355.3,v2.3.0-beta,0.6,Pune,18.5204,73.8567,1,normal,
3c9be383-2002-4369-8972-adbe75753d77,POS-D2E37BD7,MER-94832D,2026-08-01T01:36:06.992274,4157.84,1,328.4,v2.3.0-beta,2.21,Kolkata,22.5726,88.3639,1,normal,
6641e646-e16c-4317-8319-0ba8fa5154a6,POS-A8756576,MER-414EF8,2026-08-01T01:50:37.481542,3968.38,0,105.9,v2.1.0,2.29,Pune,18.5204,73.8567,1,normal,
a57e5ceb-cb1b-4c53-bd34-7bda78ff854a,POS-5CD2AFE7,MER-C65F5C,2026-08-01T02:19:09.493245,1268.57,0,356.4,v2.3.0-beta,2.1,Hyderabad,17.385,78.4867,1,normal,
11ee527c-f216-43d1-a896-fb7d85edc849,POS-F66B7F18,MER-589763,2026-08-01T02:24:25.150774,2632.66,0,463.4,v2.2.0,0.98,Pune,18.5204,73.8567,1,normal,
65276492-3532-4180-a904-0b8eb5b82dbc,POS-47CB19EB,MER-7848E9,2026-08-01T02:25:28.213784,1075.32,1,328.9,v2.2.0,1.19,Bengaluru,12.9716,77.5946,1,normal,
b965c612-1f68-4428-a951-fe608b94a679,POS-4167FD28,MER-DA1B0B,2026-08-01T02:28:35.242949,1013.31,0,440.2,v2.1.0,2.52,Delhi,28.7041,77.1025,1,normal,
944e7426-ba1d-42dc-a813-06d4b3d04062,POS-FCC69214,MER-85878E,2026-08-01T02:34:23.782429,2547.48,1,152.0,v2.2.0,1.49,Hyderabad,17.385,78.4867,1,normal,
09129cce-d467-48a3-ac48-d5dd3cd00cb4,POS-D122D405,MER-F03908,2026-08-01T02:37:26.422582,1034.88,0,303.9,v2.1.0,0.89,Mumbai,19.076,72.8777,1,normal,
225820d1-2dff-4c9c-b286-7edc4dc68fb0,POS-BB11FCF8,MER-275B28,2026-08-01T02:41:48.939650,3833.31,1,255.7,v2.1.0,1.11,Mumbai,19.076,72.8777,1,normal,
43c0e14b-7163-4516-b2be-e73276da9596,POS-B66D5760,MER-221884,2026-08-01T02:43:22.127638,4702.94,0,484.4,v2.1.0,1.38,Hyderabad,17.385,78.4867,1,normal,
51170c77-a58f-4af5-9c30-55032a8a6590,POS-81C99677,MER-2280B3,2026-08-01T03:02:59.637070,4149.7,0,5.3,v2.1.0,1.31,Nagpur,21.1458,79.0882,1,normal,
c1c4bcf9-ec73-446a-821e-5c1b08331892,POS-DEE4DD42,MER-D53081,2026-08-01T03:04:54.290089,883.57,1,1.8,v2.1.0,0.67,Mumbai,19.076,72.8777,1,normal,
f50a6a8d-3477-4ca3-9c55-60ce1c763ee7,POS-B27C0D31,MER-6BDAEB,2026-08-01T03:13:43.439949,1836.88,0,422.5,v2.1.1,1.82,Pune,18.5204,73.8567,1,normal,
3ecf156a-167c-4b30-a22c-43e8a16ac724,POS-FB95985B,MER-7765F7,2026-08-01T03:28:57.666922,4026.89,1,480.8,v2.1.0,0.75,Hyderabad,17.385,78.4867,1,normal,
aaeed0a7-032e-4cf9-9e99-b6578f98c962,POS-AD5BA00A,MER-5FE21C,2026-08-01T03:41:08.154777,172.63,0,403.7,v2.3.0-beta,1.25,Pune,18.5204,73.8567,1,normal,
3f8b1329-f3dc-40ad-8c2f-e64a912585ce,POS-6C1EE20B,MER-F3F810,2026-08-01T03:42:37.278552,3747.72,0,65.5,v2.1.1,1.83,Bengaluru,12.9716,77.5946,1,normal,
b1790d9e-823b-4d41-8ce0-66888db9b000,POS-EBF11023,MER-16D60A,2026-08-01T03:47:35.059495,1434.91,0,350.4,v2.2.0,1.62,Hyderabad,17.385,78.4867,1,normal,
57121ee1-2bc3-4ba7-b03a-5e1b9eee94a6,POS-659CC7FB,MER-F997E8,2026-08-01T04:04:11.246774,1815.41,0,479.4,v2.1.1,1.75,Mumbai,19.076,72.8777,1,normal,
22a804b8-a12c-47ae-8952-6ab4a9f95e1a,POS-BB11FCF8,MER-275B28,2026-08-01T04:17:10.790977,257.87,1,344.5,v2.1.0,0.89,Mumbai,19.076,72.8777,1,normal,
7ae03caa-8c74-480e-bf59-8c2ef2131b99,POS-3637119B,MER-7355A0,2026-08-01T04:22:39.466890,833.66,0,175.1,v2.1.1,2.27,Hyderabad,17.385,78.4867,1,normal,
8b946da2-0d86-4808-bff8-0bcb78f2474b,POS-1B73B11B,MER-95FEFA,2026-08-01T04:27:05.380828,2617.18,0,347.8,v2.2.0,2.41,Hyderabad,17.385,78.4867,1,normal,
