transaction_id,device_id,merchant_id,timestamp,transaction_amount,retry_count,device_uptime_hrs,firmware_version,last_ping_gap_sec,geo_city,geo_lat,geo_lon,ip_consistency_flag,label,fraud_type,burst_count_5min,velocity_15min,device_count_1h,device_count_6h,device_count_24h,merchant_velocity_15min,ring_community_id,ring_size,ring_score,merchant_avg_amount,merchant_std_amount,merchant_avg_velocity,merchant_amount_deviation,merchant_velocity_deviation,device_avg_amount,device_std_amount,device_avg_burst,device_amount_deviation,device_burst_deviation,anomaly_score,anomaly_raw_score,anomaly_risk,risk_score,risk_priority,merchant_risk_mean,merchant_risk_std,merchant_adaptive_threshold,merchant_adaptive_flag,risk_reasons,incident_id,investigation_priority
1d0baf37-9692-45cd-986e-18c32905bc7e,POS-CBA73359,MER-269861,2026-08-19 07:48:10.460623+00:00,16.43,2,35.1,v2.1.1,1.25,Hyderabad,17.385,78.4867,1,fraud,card_testing,12.0,12.0,12.0,12.0,12.0,12.0,RING-004,4,62.5,2005.3451612903225,1883.3696992250725,3.129032258064516,1.05604075615567,3.8350515463917527,2005.3451612903225,1883.3696992250725,3.129032258064516,1.05604075615567,3.8350515463917527,-1,-0.1859234776548475,100.0,87.72,CRITICAL,38.55,23.972710179146063,86.49542035829212,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-004, 4 devices)",INC-0017,P0 — Immediate
4f4ace69-dc68-4b31-93c2-efa25f84578a,POS-8BA2BC27,MER-CDDE89,2026-08-09 10:41:17.535412+00:00,10.61,2,57.9,v2.1.1,1.06,Bengaluru,12.9716,77.5946,1,fraud,card_testing,12.0,12.0,12.0,12.0,14.0,12.0,RING-012,2,54.17,1555.2063157894736,1538.7944675646847,2.763157894736842,1.0037703854199391,4.3428571428571425,1555.2063157894736,1538.7944675646847,2.763157894736842,1.0037703854199391,4.3428571428571425,-1,-0.18124811436899158,100.0,87.14,CRITICAL,33.04394736842105,24.335251878646233,81.71445112571351,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-012, 2 devices)",INC-0006,P0 — Immediate
3aca4c9b-4aae-4c0a-b94d-9ebb98951ef6,POS-0AE6C0D2,MER-897854,2026-08-20 06:24:39.721418+00:00,19.24,0,394.6,v2.1.1,1.21,Kolkata,22.5726,88.3639,1,fraud,card_testing,12.0,12.0,12.0,13.0,14.0,12.0,RING-027,3,50.0,1696.6145238095237,1639.2351669726986,2.5714285714285716,1.0232665560166452,4.666666666666666,1696.6145238095237,1639.2351669726986,2.5714285714285716,1.0232665560166452,4.666666666666666,-1,-0.18775996917616422,100.0,86.57,CRITICAL,31.454523809523806,23.595713459655148,78.6459507288341,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-027, 3 devices)",INC-0021,P0 — Immediate
cdecc04f-38f8-498a-90bd-b5aa4c2a9a49,POS-8BA2BC27,MER-CDDE89,2026-08-09 10:41:15.445199+00:00,19.24,0,407.5,v2.1.1,0.79,Bengaluru,12.9716,77.5946,1,fraud,card_testing,11.0,11.0,11.0,11.0,13.0,11.0,RING-012,2,54.17,1555.2063157894736,1538.7944675646847,2.763157894736842,0.998162099075072,3.980952380952381,1555.2063157894736,1538.7944675646847,2.763157894736842,0.998162099075072,3.980952380952381,-1,-0.1664939241980048,100.0,86.52,CRITICAL,33.04394736842105,24.335251878646233,81.71445112571351,True,"Isolation Forest anomaly; high transaction burst (11 in 5 min); high device velocity (11 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-012, 2 devices)",INC-0006,P0 — Immediate
b83d28e8-9a8a-4177-868d-fd6fd56fc5f4,POS-0AE6C0D2,MER-897854,2026-08-20 06:24:33.570645+00:00,7.24,2,446.5,v2.1.1,0.46,Kolkata,22.5726,88.3639,1,fraud,card_testing,11.0,11.0,11.0,12.0,13.0,11.0,RING-027,3,50.0,1696.6145238095237,1639.2351669726986,2.5714285714285716,1.0305870431814987,4.277777777777778,1696.6145238095237,1639.2351669726986,2.5714285714285716,1.0305870431814987,4.277777777777778,-1,-0.17797451126445707,100.0,86.09,CRITICAL,31.454523809523806,23.595713459655148,78.6459507288341,True,"Isolation Forest anomaly; high transaction burst (11 in 5 min); high device velocity (11 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-027, 3 devices)",INC-0021,P0 — Immediate
f49b174c-7c9a-40f1-a3d1-99f7ce1fa33a,POS-C2744B6C,MER-4093C0,2026-08-03 03:24:08.228331+00:00,19.88,0,63.7,v2.1.1,0.68,Nagpur,21.1458,79.0882,1,fraud,card_testing,12.0,12.0,12.0,12.0,12.0,12.0,RING-023,4,43.75,1419.55,1594.3698370065363,3.0,0.8778828898493906,4.0,1419.55,1594.3698370065363,3.0,0.8778828898493906,4.0,-1,-0.17798629408843492,100.0,85.2,CRITICAL,31.704545454545453,24.882663780595955,81.46987301573736,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-023, 4 devices)",INC-0003,P0 — Immediate
1c242dbe-675a-4d07-838d-c4812b5eb02e,POS-CC26C0E8,MER-0D1C10,2026-08-08 17:57:38.683393+00:00,11.61,1,409.4,v2.1.0,0.75,Delhi,28.7041,77.1025,1,fraud,card_testing,12.0,12.0,12.0,12.0,13.0,12.0,RING-024,9,41.67,1473.9082857142857,1535.6094075326762,2.8857142857142857,0.9522592649805511,4.158415841584159,1473.9082857142857,1535.6094075326762,2.8857142857142857,0.9522592649805511,4.158415841584159,-1,-0.17618032710996756,100.0,85.11,CRITICAL,31.180285714285713,24.691913475719875,80.56411266572546,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-024, 9 devices)",INC-0005,P0 — Immediate
135366e9-132c-4422-9fd9-7f78f1035c87,POS-81C99677,MER-2280B3,2026-08-09 19:00:16.332159+00:00,10.3,2,42.9,v2.1.0,0.38,Nagpur,21.1458,79.0882,1,fraud,card_testing,12.0,12.0,12.0,12.0,12.0,12.0,RING-020,6,37.5,2000.400487804878,1774.8479734937175,2.6097560975609757,1.1212794095752576,4.598130841121495,2000.400487804878,1774.8479734937175,2.6097560975609757,1.1212794095752576,4.598130841121495,-1,-0.18811912944438336,100.0,84.99,CRITICAL,30.200000000000003,23.373679000106083,76.94735800021218,True,Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline,INC-0007,P0 — Immediate
20ca402d-2058-470b-8dcf-6990cb4b271b,POS-10016958,MER-25A16E,2026-08-12 18:39:18.933318+00:00,12.09,2,269.9,v2.1.1,1.09,Delhi,28.7041,77.1025,1,fraud,card_testing,12.0,12.0,12.0,14.0,14.0,12.0,RING-014,11,45.45,1364.4054838709678,1433.3486462124017,3.161290322580645,0.9434658395530198,3.795918367346939,1364.4054838709678,1433.3486462124017,3.129032258064516,0.9434658395530198,3.8350515463917527,-1,-0.18477365009377777,100.0,84.73,CRITICAL,34.15806451612904,24.96172475602796,84.08151402818496,True,"Isolation Forest anomaly; high transaction burst (12 in 5 min); high device velocity (12 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-014, 11 devices)",INC-0012,P0 — Immediate
6ecb9b86-1e70-4a16-89a5-72cd37d8ab74,POS-CBA73359,MER-269861,2026-08-19 07:48:01.838334+00:00,10.03,0,143.3,v2.1.1,0.97,Hyderabad,17.385,78.4867,1,fraud,card_testing,11.0,11.0,11.0,11.0,11.0,11.0,RING-004,4,62.5,2005.3451612903225,1883.3696992250725,3.129032258064516,1.05943892062791,3.515463917525773,2005.3451612903225,1883.3696992250725,3.129032258064516,1.05943892062791,3.515463917525773,-1,-0.15248429929198293,97.38153103405692,84.71,CRITICAL,38.55,23.972710179146063,86.49542035829212,False,"Isolation Forest anomaly; high transaction burst (11 in 5 min); high device velocity (11 in 15 min); merchant activity above its normal baseline; device burst rate above its normal baseline; device in suspected abuse ring (RING-004, 4 devices)",INC-0017,P0 — Immediate
